Iteration,Accuracy,Precision,Recall,F1 Score
1.0,0.9627984453081622,0.9495614035087719,0.9763246899661782,0.962757087270706
2.0,0.9672404219877846,0.9621621621621622,0.973741794310722,0.9679173463839043
3.0,0.9622431982232094,0.9629213483146067,0.9607623318385651,0.9618406285072951
4.0,0.9694614103275958,0.9699666295884316,0.9688888888888889,0.9694274596998332
5.0,0.9772348695169351,0.9750283768444948,0.9783599088838268,0.9766913018760659
6.0,0.9727928928373126,0.97,0.9754189944134078,0.9727019498607242
7.0,0.9711271515824542,0.9717083786724701,0.9717083786724701,0.9717083786724701
8.0,0.9627984453081622,0.9570011025358324,0.96875,0.9628397115917915
9.0,0.9666851749028318,0.970276008492569,0.9661733615221987,0.9682203389830508
10.0,0.963353692393115,0.964248159831756,0.9662802950474183,0.9652631578947368
11.0,0.9650194336479734,0.9609810479375697,0.9685393258426966,0.9647453833240067
12.0,0.9750138811771238,0.975609756097561,0.9745293466223699,0.9750692520775623
13.0,0.9622431982232094,0.9568500539374326,0.9693989071038251,0.9630836047774158
14.0,0.9739033870072182,0.9709364908503767,0.9783080260303688,0.9746083198271205
15.0,0.971682398667407,0.9597030752916225,0.985838779956427,0.9725953788285868
16.0,0.963353692393115,0.9527806925498427,0.9773950484391819,0.9649309245483528
17.0,0.960577456968351,0.9524838012958964,0.9702970297029703,0.9613079019073569
18.0,0.9672404219877846,0.953880764904387,0.9792147806004619,0.9663817663817664
19.0,0.9677956690727374,0.9625137816979051,0.9732441471571907,0.967849223946785
20.0,0.9700166574125486,0.9698996655518395,0.9698996655518395,0.9698996655518395
21.0,0.9644641865630206,0.9715585893060296,0.9563269876819709,0.963882618510158
22.0,0.9727928928373126,0.9694915254237289,0.975,0.9722379603399434
23.0,0.9694614103275958,0.9749182115594329,0.9654427645788337,0.9701573521432447
24.0,0.9672404219877846,0.973741794310722,0.9621621621621622,0.9679173463839043
25.0,0.9627984453081622,0.9654427645788337,0.9623250807319699,0.9638814016172507
26.0,0.9611327040533038,0.9576547231270358,0.9660460021905805,0.9618320610687023
27.0,0.9572459744586341,0.9580193756727664,0.959051724137931,0.9585352719439957
28.0,0.9683509161576902,0.9722814498933902,0.9671261930010604,0.9696969696969697
29.0,0.9622431982232094,0.9552238805970149,0.9718004338394793,0.9634408602150538
30.0,0.9644641865630206,0.9618406285072951,0.9661781285231116,0.9640044994375703
31.0,0.966129927817879,0.9592298980747452,0.9713302752293578,0.9652421652421652
32.0,0.9650194336479734,0.9612831858407079,0.9687848383500557,0.9650194336479734
33.0,0.9672404219877846,0.9657836644591612,0.9689922480620154,0.9673852957435047
34.0,0.9677956690727374,0.9631696428571429,0.9718468468468469,0.9674887892376681
35.0,0.966129927817879,0.9552715654952076,0.9792576419213974,0.9671159029649595
36.0,0.9594669627984453,0.9737704918032787,0.9478723404255319,0.9606469002695418
37.0,0.9544697390338701,0.9486338797814208,0.9612403100775194,0.9548954895489549
38.0,0.960577456968351,0.9577006507592191,0.9650273224043716,0.9613500272182907
39.0,0.9722376457523598,0.9670079635949943,0.9758897818599311,0.9714285714285714
40.0,0.9655746807329262,0.9639737991266376,0.9682017543859649,0.9660831509846827
41.0,0.9566907273736813,0.9520174482006543,0.9625137816979051,0.9572368421052632
42.0,0.9611327040533038,0.953880764904387,0.9669327251995439,0.9603624009060022
43.0,0.963353692393115,0.9568106312292359,0.9696969696969697,0.9632107023411371
44.0,0.9616879511382566,0.9632516703786191,0.9600443951165372,0.9616453585325181
45.0,0.9683509161576902,0.9646799116997793,0.9721913236929922,0.968421052631579
46.0,0.9672404219877846,0.965103598691385,0.9703947368421053,0.967741935483871
47.0,0.9639089394780678,0.956081081081081,0.9702857142857143,0.9631310266591038
48.0,0.9561354802887285,0.9375,0.9764309764309764,0.9565695437053326
49.0,0.966129927817879,0.9676025917926566,0.9665587918015103,0.9670804101457097
50.0,0.9639089394780678,0.9547844374342797,0.9763440860215054,0.9654439128123339
