ID,Prompt,Code,label,Predicted Label
7d6ac438-8100-4717-b65c-290a59074e79,"Solve this coding assignment ""
For each multiple of 10 in the given array, change all the values following it to be that multiple of 10, until encountering another multiple of 10. So {2, 10, 3, 4, 20, 5} yields {2, 10, 10, 10, 20, 20}.
public int[] tenRun(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.","public int[] tenRun(int[] nums)
{
    int prevMultipleOfTen = 0;
    for(int i = 0; i < nums.length; i++)
    {
        if(nums[i] % 10 == 0 && nums[i] != prevMultipleOfTen)
        {
            prevMultipleOfTen = nums[i];
            for(int j = i + 1; j < nums.length; j++)
            {
                if(nums[j] % 10 == 0 && nums[j] != prevMultipleOfTen)
                {
                    prevMultipleOfTen = nums[j];
                    break;
                }
                nums[j] = prevMultipleOfTen;
            }
        }
    }
    return nums;
}",0,1
256d23d2-9e7c-4283-8ae3-c666e4ecd0fe,"You are tasked with writing a Java method called fix45 that takes an integer array nums as input and returns a new array with the following properties:

The returned array must contain exactly the same numbers as the original array.

Every 4 in the array must be immediately followed by a 5. The 4s should not be moved; only other numbers (including 5s) can be rearranged.

The input array is guaranteed to contain the same number of 4s and 5s.

Every 4 in the array will always have a number after it that is not a 4 (i.e., no 4 will be the last element in the array).

The 5s can appear anywhere in the original array, including before or after 4s.

Write the fix45 method to solve this problem. Ensure that your solution is efficient and handles all edge cases correctly.

Example Input and Output:

Input: [5, 4, 9, 4, 9, 5]
Output: [9, 4, 5, 4, 5, 9]

Input: [4, 9, 4, 9, 5, 5]
Output: [4, 5, 4, 5, 9, 9]

Input: [4, 5, 4, 1, 5]
Output: [4, 5, 4, 5, 1]

Constraints:

Do not move the 4s in the array.

You may assume the input array is valid according to the problem description.

Implementation:

java
Copy
public int[] fix45(int[] nums) {
    // Your implementation here
}
Guidance for the LLM:

Start by identifying the positions of all 4s and 5s in the array.

Ensure that every 4 is followed by a 5 without moving the 4s.

Rearrange the 5s and other numbers as needed to satisfy the condition.

Consider edge cases, such as when 5s appear before 4s or when multiple 4s and 5s are present.

Optimize your solution to ensure it runs efficiently.","public int[] fix45(int[] nums) {
    int n = nums.length;
    int left = 0, right = 0;

    while (right < n) {
        if (nums[right] == 5) {
            while (left < right && nums[left] != 4) {
                left++;
            }

            if (left == right) {
                int temp = nums[right];
                nums[right] = nums[right + 1];
                nums[right + 1] = temp;
                right++;
            } else {
                left++;
                right++;
            }
        } else {
            right++;
        }
    }

    return nums;
}",0,1
98966f62-262c-474e-8508-bf3d45b23cc4,"as a cs1 student you are trying to solve this assignment, how would you solve it
You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}","public int greenTicket(int a, int b, int c)


if(a != b && a != c && b != c)
    return 0;


else if(a == b && a == c && b == c)
    return 20;


else
    return 10;


public int greenTicket(int a, int b, int c) {
    if(a != b && a != c && b != c)
        return 0;
    else if(a == b && a == c && b == c)
        return 20;
    else
        return 10;
}",0,1
1441665e-04bb-48cb-bfe9-d287c2a55799,"Solve this coding assignment ""
Given a non-empty array, return true if there is a place to split the array so that the sum of the numbers on one side is equal to the sum of the numbers on the other side.
public boolean canBalance(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.","public boolean canBalance(int[] nums) {
    int numsSum = 0;
    for (int i = 0; i < nums.length; i++) {
        numsSum += nums[i];
    }
    int leftSum = 0;
    for (int i = 0; i < nums.length; i++) {
        numsSum -= nums[i];
        if (leftSum == numsSum) {
            return true;
        }
        leftSum += nums[i];
    }
    return false;
}",0,1
22676a12-6892-4f0c-b09c-787f0c284850,"Write a function in Java to implement the following logic:
The squirrels in Palo Alto spend most of their time playing. Specifically, they play if the temperature is between 60 and 90 (inclusive). However, if it is summer, the upper limit changes to 100 instead of 90.

Given an integer temperature and a boolean isSummer, return true if the squirrels are playing, otherwise return false.

public boolean squirrelPlay(int temp, boolean isSummer)
{
    
}","public boolean squirrelPlay(int temp, boolean isSummer) {
    int lowerLimit = 60;
    int upperLimit = isSummer ? 100 : 90;
    
    if(temp >= lowerLimit && temp <= upperLimit) {
        return true;
    } else {
        return false;
    }
}",0,1
d7c4c02d-73b7-4032-9901-fbd08d3a3ca8,"Solve this ""
Given an array, return an array that contains exactly the same numbers as the original array, but rearranged so that every 4 is immediately followed by a 5. Do not move the 4's, but every other number may move. The array contains the same number of 4's and 5's, and every 4 has a number after it that is not a 4. In this version, 5's may appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)
public int[] fix45(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.","import java.util.*;

public int[] fix45(int[] nums) {
    Queue<Integer> queue = new LinkedList<>();
    Stack<Integer> stack = new Stack<>();
    for (int num : nums) {
        if (num == 4) {
            queue.offer(num);
        } else {
            stack.push(num);
        }
    }
    int[] res = new int[nums.length];
    int i = 0;
    while (!queue.isEmpty()) {
        res[i++] = queue.poll();
        if (!queue.isEmpty()) {
            res[i++] = queue.poll();
        }
        if (!stack.isEmpty()) {
            res[i++] = stack.pop();
        }
    }
    return res;
}",0,1
b34a7ac3-ce6c-4465-984e-f65f39fff2ec,"Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}","public boolean xyzThere(String str) {
    int n = str.length();
    int i = 0;
    while (i < n) {
        if ((i >= 0) && (str.charAt(i) == '.')) {
            i++;
            continue;
        }
        if ((i + 2 < n) && (str.substring(i, i + 3).equals(""xyz""))) {
            return true;
        }
        i++;
    }
    return false;
}",0,1
51d8aa3f-79e8-4644-886b-60d00524967b,"Solve this coding assignment ""
Given a string, if the same 2-character substring appears at both its beginning and end, return the contents of the string without the 2-character substring at the beginning. For example, ""HelloHe"" yields ""lloHe"". Note that the 2-character substring at the beginning may overlap with the one at the end, so ""Hi"" yields """". If the two characters at the start and end of the string do not match each other, return the original string unchanged.
public String without2(String str) 
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.","public String without2(String str) 
{
    if(str.length() < 2) 
    {
        return str;
    }
    else if (str.substring(0, 2).equals(str.substring(str.length() - 2)))
    {
        return str.substring(2);
    }
    else
    {
        return str;
    }
}",0,1
107d9e0f-1467-4512-ba5b-216d3d5c4cf6,"You are tasked with writing a Java function that counts the number of times the string ""code"" appears in a given string str, but with a specific condition: the letter 'd' in ""code"" can be replaced by any letter. For example, ""cope"", ""cooe"", and ""coze"" should all be counted as valid occurrences.

Write a function named countCode that takes a single parameter, str, of type String, and returns an integer representing the count of such occurrences.

The function should:

Iterate through the input string str.

Check for substrings of length 4 where the first three characters are ""co"" and the fourth character is any letter.

Count and return the total number of such valid substrings.

Here is the function signature to start with:

java
Copy
public int countCode(String str) {
    // Your implementation here
}
Provide the complete implementation of the countCode function, ensuring it handles edge cases such as an empty string or a string shorter than 4 characters.","public int countCode(String str) {
    int count = 0;
    for(int i = 0; i <= str.length() - 4; i++) {
        String sub = str.substring(i, i + 4);
        if(sub.startsWith(""co"") && sub.charAt(3) == 'e') {
            count++;
        }
    }
    return count;
}",0,1
fda7cd60-56e1-442b-b3d9-6646fd1c256c,"Given an integer array, return true if every occurrence of 2 in the array is adjacent to another 2. Otherwise, return false.

public boolean twoTwo(int[] nums)
{
    
}","public boolean twoTwo(int[] nums) {
    boolean seenTwo = false;
    for(int i = 0; i < nums.length - 1; i++) {
        if(nums[i] == 2) {
            if(nums[i+1] != 2 && !seenTwo) {
                return false;
            }
            seenTwo = true;
        } else {
            seenTwo = false;
        }
    }
    return true;
}",0,1
