ID,Prompt,Code,label,Predicted Label
b2a61820-08ef-4651-a89a-6cc2e5c7ddcd,"Solve this coding assignment ""
We'll say that a string is xy-balanced if for all the 'x' characterss in the string, there exists a 'y' character somewhere later in the string. So ""xxy"" is balanced, but ""xyx"" is not. One 'y' can balance multiple 'x's. Return true if the given string is xy-balanced.
public boolean xyBalance(String str)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.","public boolean xyBalance(String str) {
    boolean ySeen = false;
    for (int i = str.length() - 1; i >= 0; i--) {
        char c = str.charAt(i);
        if (c == 'y') {
            ySeen = true;
        } else if (c == 'x' && !ySeen) {
            return false;
        }
    }
    return true;
}",0,1
940b985e-90d7-459a-8d80-810fc3100155,"Write a function in Java that implements the following logic: Given a string, return a string made of its first 2 chars. If the string length is less than 2, use '@' for the missing chars.
public String atFirst(String str)
{
    
}","public String atFirst(String str) {
    if (str.length() < 2) {
        String result = str + ""@"";
        return result.substring(0, 2);
    } else {
        return str.substring(0, 2);
    }
}",0,1
6f89f222-d993-4dda-8f8a-58d6d49912b0,"You are tasked with writing a Java method that takes an integer array of any length and returns a new array containing its first 2 elements. If the input array has fewer than 2 elements, the method should return an array with all the elements present. Complete the following method:

java
Copy
public int[] frontPiece(int[] nums) {
    // Your code here
}
Instructions:

Check the length of the input array nums.

If the length is 2 or greater, create and return a new array containing the first 2 elements of nums.

If the length is less than 2, create and return a new array containing all the elements of nums.

Ensure the method handles edge cases, such as an empty array.

Example Inputs and Outputs:

Input: [1, 2, 3] → Output: [1, 2]

Input: [5] → Output: [5]

Input: [] → Output: []

Write the complete Java method to solve this problem.","public int[] frontPiece(int[] nums) {
    int length = nums.length;

    if (length >= 2) {
        return new int[]{nums[0], nums[1]};
    } else {
        int[] newArray = new int[length];
        for (int i = 0; i < length; i++) {
            newArray[i] = nums[i];
        }
        return newArray;
    }
}",0,1
b235af0a-db8e-4ada-8b7f-d1009f667140,"We want make a package of goal kilos of chocolate. We have small bars (1 kilo each) and big bars (5 kilos each). Return the number of small bars to use, assuming we always use big bars before small bars. Return -1 if it can't be done.
public int makeChocolate(int small, int big, int goal)
{
    
}","public int makeChocolate(int small, int big, int goal) {
    int totalBigBars = big * 5;
    int remainingChocolate = goal - totalBigBars;
    
    if (remainingChocolate < 0) {
        return -1;
    } else if (remainingChocolate <= small) {
        return remainingChocolate;
    } else {
        return -1;
    }
}",0,1
524d2793-ca76-4b51-8b67-5716902a4541,"Given an array of ints, return true if every 2 that appears in the array is next to another 2. Otherwise, return false.
public boolean twoTwo(int[] nums)
{
    
}","public boolean twoTwo(int[] nums) {
    int count = 0;
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 2) {
            count++;
            if (i > 0 && nums[i - 1] != 2) {
                return false;
            }
        }
    }
    return count == 0 || count == nums.length;
}",0,1
0fcd5a43-af09-4bf9-ac89-b581667c9c46,"Solve this coding assignment ""
Given an int array, return the sum of the numbers in the array, except ignore sections of numbers starting with a 6 and extending to the next 7 (every 6 will be followed by at least one 7). Return 0 for no numbers.
public int sum67(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.","public int sum67(int[] nums)
{
    int sum = 0;
    int i = 0;
    while (i < nums.Length)
    {
        if (nums[i] == 6)
        {
            do
            {
                i++;
            } while (i < nums.Length && nums[i] != 7);
        }
        else
        {
            sum += nums[i];
            i++;
        }
    }
    return sum;
}",0,1
14b1c22d-12f9-4968-8572-ffbaf4fe7600,"Write a Java function that implements the following logic: Given three integer values a, b, and c, return their sum. However, if any of the values is 13, that value will not be included in the sum, and any value to its right will also be excluded. For example, if b is 13, then both b and c will not be included in the sum.
public int luckySum(int a, int b, int c)
{
    
}","public int luckySum(int a, int b, int c) {
    int sum = 0;
    boolean skip = false;

    if (a == 13) {
        skip = true;
    } else {
        sum += a;
    }

    if (skip) {
        return sum;
    }

    if (b == 13) {
        skip = true;
    } else {
        sum += b;
    }

    if (skip) {
        return sum;
    }

    if (c == 13) {
        skip = true;
    } else {
        sum += c;
    }

    return sum;
}",0,1
880df95d-9c8c-40e7-84d1-7580c71934bc,"as a cs1 student you are trying to solve this assignment, how would you solve it
Given an array of ints, return true if every 2 that appears in the array is next to another 2. Otherwise, return false.
public boolean twoTwo(int[] nums)
{
    
}","public boolean twoTwo(int[] nums) {
  for (int i = 0; i < nums.length - 1; i++) {
    if (nums[i] == 2 && (nums[i+1] != 2)) {
      return false;
    }
  }
  return true;
}


public boolean twoTwo(int[] nums) {
  Map<Integer, Integer> map = new HashMap<>();
  for (int num : nums) {
    map.put(num, map.getOrDefault(num, 0) + 1);
  }
  return map.getOrDefault(2, 0) == 0 || map.getOrDefault(2, 0) % 2 == 0;
}",0,1
32a21c05-ae92-43cc-b597-7a8034e2a8bb,"Solve this ""
Write a function in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if one of the values is the same as another of the values, it does not count towards the sum.
public int loneSum(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.","public int loneSum(int a, int b, int c) {
    int sum = 0;
    if (a == b && b == c) {
        sum = 0;
    } else if (a == b || a == c) {
        sum = c;
    } else if (b == c || b == a) {
        sum = a;
    } else {
        sum = a + b + c;
    }
    return sum;
}",0,1
733e39df-4086-420e-a319-a785da1a1464,"Write a Java function that checks whether the substring ""xyz"" appears in a given string str, with the condition that ""xyz"" should not be immediately preceded by a period ""."". If the condition is met, return true; otherwise, return false.

For example, ""xxyz"" should return true, while ""x.xyz"" should return false.

public boolean xyzThere(String str)
{
    
}","public boolean xyzThere(String str) {
    int length = str.length();
    for(int i = 2; i < length; i++) {
        if(str.charAt(i) == 'x' && str.charAt(i - 1) == 'y' && str.charAt(i - 2) == 'z') {
            if(i == 2 || str.charAt(i - 3) != '.') {
                return true;
            }
        }
    }
    return false;
}",0,1
